Designator,Mid X,Mid Y,Rotation,Layer
C1,122.85,-69.5,0.0,top
C10,125.2,-82.2,270.0,top
C11,121.21,-77.2,180.0,top
C12,121.23,-73.5,180.0,top
C13,126.5,-69.6,90.0,top
C14,135.52,-74.4,0.0,top
C15,121.23,-75.8,180.0,top
C16,128.2,-82.2,270.0,top
C17,137.6,-75.6,0.0,top
C18,135.4,-63.4,270.0,top
C19,126.2,-82.2,90.0,top
C2,120.75,-69.5,180.0,top
C20,123.2,-83.6,0.0,top
C21,122.53,-54.0,180.0,top
C22,122.72,-58.4,0.0,top
C23,125.85,-88.5488,180.0,top
C3,131.0,-70.0,90.0,top
C4,132.1,-70.0,90.0,top
C5,135.5,-70.2,90.0,top
C6,125.4,-69.6,90.0,top
C7,135.52,-73.3,0.0,top
C8,137.6,-76.7,0.0,top
C9,130.35,-81.6,270.0,top
D1,123.4,-56.2,90.0,top
D2,131.5,-87.2,0.0,top
D3,126.5,-58.0,90.0,top
J1,127.25,-47.1125,180.0,top
J2,135.35,-81.6,270.0,top
J3,137.1,-57.35,270.0,top
J4,127.6638,-99.0,0.0,top
J5,119.9,-87.325,180.0,top
J6,140.5,-84.32,0.0,top
J8,127.46,-110.0,90.0,top
J9,114.0,-84.42,0.0,top
L1,133.8,-70.4,270.0,top
Q1,131.0,-60.2,180.0,top
R1,129.85,-54.9,270.0,top
R10,113.4,-55.0,90.0,top
R11,129.79,-56.5,180.0,top
R12,123.25,-84.7,180.0,top
R13,117.0,-84.8,270.0,top
R2,126.55,-54.9,270.0,top
R3,136.6,-70.2,270.0,top
R4,127.7,-70.6,90.0,top
R5,128.8,-70.6,90.0,top
R6,118.0,-78.5,180.0,top
R7,127.2,-82.2,90.0,top
R8,117.0,-82.0,270.0,top
R9,122.0,-56.2,90.0,top
SW1,118.4,-75.0,270.0,top
SW2,120.525,-81.5,0.0,top
U1,127.25,-76.05,90.0,top
U2,120.35,-64.5,270.0,top
U3,129.8,-65.0,270.0,top
U4,117.7,-56.2,270.0,top
Y1,126.4,-85.6,270.0,top
